date,day_of_week,name,period,prob,label
2020-11-24,Tue,沪深300,两周,0.4684609261715596,市场
2020-11-24,Tue,沪深300,一月,0.15969932597251113,市场
2020-11-24,Tue,中证500,一周,0.32437775421877674,市场
2020-11-24,Tue,中证500,两周,0.5843265262404099,市场
2020-11-24,Tue,中证500,一月,0.7328230463667129,市场
2020-11-24,Tue,中证1000,一周,0.2406482920409972,市场
2020-11-24,Tue,中证1000,两周,0.6330225237421898,市场
2020-11-24,Tue,中证1000,一月,0.8136239839824925,市场
2020-11-24,Tue,有色,一周,0.5559481476822292,期货
2020-11-24,Tue,有色,两周,0.5261700332829033,期货
2020-11-24,Tue,有色,一月,0.6272899264222069,期货
2020-11-24,Tue,黑色,一周,0.5457652868975512,期货
2020-11-24,Tue,黑色,两周,0.5585079770676153,期货
2020-11-24,Tue,黑色,一月,0.4690443261249754,期货
2020-11-24,Tue,农产品,一周,0.5762046192331391,期货
2020-11-24,Tue,农产品,两周,0.6189924561813569,期货
2020-11-24,Tue,农产品,一月,0.5523533323032015,期货
2020-11-24,Tue,能化,一周,0.46415012536090466,期货
2020-11-24,Tue,能化,两周,0.5371830201214177,期货
2020-11-24,Tue,能化,一月,0.30930766559432904,期货
2020-11-25,Wed,上证50,一周,0.3830502724884164,权益市场
2020-11-25,Wed,上证50,两周,0.27280207504763765,权益市场
2020-11-25,Wed,上证50,一月,0.6007917289115754,权益市场
2020-11-25,Wed,沪深300,一周,0.3153931819400814,权益市场
2020-11-25,Wed,沪深300,两周,0.530962966381793,权益市场
2020-11-25,Wed,沪深300,一月,0.6812433201078969,权益市场
2020-11-25,Wed,中证500,一周,0.5590194501666929,权益市场
2020-11-25,Wed,中证500,两周,0.5468785418063608,权益市场
2020-11-25,Wed,中证500,一月,0.5222584679866786,权益市场
2020-11-25,Wed,中证1000,一周,0.48749444553864457,权益市场
2020-11-25,Wed,中证1000,两周,0.4681246338312669,权益市场
2020-11-25,Wed,中证1000,一月,0.5189686464649327,权益市场
2020-11-25,Wed,上证50,一周,0.5541043360681159,市场
2020-11-25,Wed,上证50,两周,0.7482466580473178,市场
2020-11-25,Wed,上证50,一月,0.6976245635116621,市场
2020-11-25,Wed,沪深300,一周,0.6074373043788572,市场
2020-11-25,Wed,沪深300,两周,0.779816326746789,市场
2020-11-25,Wed,沪深300,一月,0.09825081722124814,市场
2020-11-25,Wed,中证500,一周,0.562703960827596,市场
2020-11-25,Wed,中证500,两周,0.43366042271830163,市场
2020-11-25,Wed,中证500,一月,0.31067192384049935,市场
2020-11-25,Wed,中证1000,一周,0.8033388421897506,市场
2020-11-25,Wed,中证1000,两周,0.5810818265775183,市场
2020-11-25,Wed,中证1000,一月,0.3736787987985163,市场
2020-11-25,Wed,有色,一周,0.5064642763436635,期货
2020-11-25,Wed,有色,两周,0.5436459405684655,期货
2020-11-25,Wed,有色,一月,0.7388803771755773,期货
2020-11-25,Wed,黑色,一周,0.5738865622964492,期货
2020-11-25,Wed,黑色,两周,0.4811821085783763,期货
2020-11-25,Wed,黑色,一月,0.5153894365834268,期货
2020-11-25,Wed,农产品,一周,0.4933459756041612,期货
2020-11-25,Wed,农产品,两周,0.4938885452503443,期货
2020-11-25,Wed,农产品,一月,0.7212272032085822,期货
2020-11-25,Wed,能化,一周,0.5696774572589468,期货
2020-11-25,Wed,能化,两周,0.4917351080881147,期货
2020-11-25,Wed,能化,一月,0.5031671908102647,期货
